"OCC_CODE","OCC_TITLE","OCC_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","HOURLY"
"19-2000","Physical Scientists","minor","274,610",1.1,40.08,"83,360",0.8,20.02,25.98,35.99,50.01,65.71,"41,640","54,030","74,850","104,020","136,690",,
"21-1021","Child, Family, and School Social Workers","detailed","273,920",0.8,21.78,"45,300",0.7,12.85,15.88,19.97,26.16,34.13,"26,720","33,030","41,530","54,420","71,000",,
"25-3099","Teachers and Instructors, All Other, Except Substitute Teachers","detailed","271,740",1.9,"*","49,430",1.7,"*","*","*","*","*","19,320","26,990","43,400","63,680","85,670","TRUE",
"25-1120","Arts, Communications, and Humanities Teachers, Postsecondary","broad","271,550",1.3,"*","70,450",1.1,"*","*","*","*","*","32,970","45,220","61,710","85,440","118,350","TRUE",
"51-2099","Assemblers and Fabricators, All Other","detailed","270,950",2.0,13.98,"29,070",1.0,8.46,9.76,12.46,16.78,22.73,"17,590","20,300","25,920","34,910","47,280",,
"37-1000","Supervisors of Building and Grounds Cleaning and Maintenance Workers","minor","269,700",0.7,19.47,"40,500",0.3,11.19,13.98,18.08,23.54,29.82,"23,280","29,080","37,610","48,970","62,020",,
"37-1010","First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers","broad","269,700",0.7,19.47,"40,500",0.3,11.19,13.98,18.08,23.54,29.82,"23,280","29,080","37,610","48,970","62,020",,
"51-5100","Printing Workers","minor","267,390",1.1,17.14,"35,640",0.4,9.80,12.46,16.40,21.00,25.96,"20,390","25,920","34,100","43,680","53,990",,
"51-5110","Printing Workers","broad","267,390",1.1,17.14,"35,640",0.4,9.80,12.46,16.40,21.00,25.96,"20,390","25,920","34,100","43,680","53,990",,
"23-2010","Paralegals and Legal Assistants","broad","267,030",1.3,24.15,"50,220",0.5,14.15,17.53,22.59,29.01,36.26,"29,420","36,460","46,990","60,340","75,410",,
"23-2011","Paralegals and Legal Assistants","detailed","267,030",1.3,24.15,"50,220",0.5,14.15,17.53,22.59,29.01,36.26,"29,420","36,460","46,990","60,340","75,410",,
"25-4000","Librarians, Curators, and Archivists","minor","266,950",0.9,22.62,"47,060",0.4,10.66,14.85,21.31,28.64,36.34,"22,160","30,900","44,320","59,560","75,580",,
"33-1000","Supervisors of Protective Service Workers","minor","266,920",0.5,32.77,"68,170",0.7,17.05,22.58,30.70,41.34,52.82,"35,460","46,970","63,850","85,990","109,870",,
"11-3010","Administrative Services Managers","broad","264,090",0.6,42.63,"88,660",0.3,21.31,28.96,38.98,52.24,68.78,"44,330","60,250","81,080","108,660","143,070",,
"11-3011","Administrative Services Managers","detailed","264,090",0.6,42.63,"88,660",0.3,21.31,28.96,38.98,52.24,68.78,"44,330","60,250","81,080","108,660","143,070",,
"13-1031","Claims Adjusters, Examiners, and Investigators","detailed","263,280",1.2,29.58,"61,530",0.4,17.76,22.15,28.83,35.87,43.18,"36,950","46,080","59,960","74,620","89,810",,
"51-2020","Electrical, Electronics, and Electromechanical Assemblers","broad","261,780",1.6,15.10,"31,400",0.4,9.42,11.24,14.14,17.82,22.22,"19,600","23,380","29,420","37,060","46,230",,
"19-1000","Life Scientists","minor","260,030",1.6,37.32,"77,620",0.8,19.04,24.16,33.07,44.72,60.71,"39,610","50,250","68,780","93,010","126,280",,
"17-2050","Civil Engineers","broad","258,100",1.1,40.45,"84,140",0.4,24.65,30.30,38.14,48.24,58.66,"51,280","63,030","79,340","100,330","122,020",,
"17-2051","Civil Engineers","detailed","258,100",1.1,40.45,"84,140",0.4,24.65,30.30,38.14,48.24,58.66,"51,280","63,030","79,340","100,330","122,020",,
"47-5000","Extraction Workers","minor","257,220",1.6,21.16,"44,010",0.7,12.30,15.27,19.54,25.48,31.61,"25,590","31,750","40,650","52,990","65,750",,
"39-3091","Amusement and Recreation Attendants","detailed","256,400",1.5,9.63,"20,020",0.5,7.82,8.32,9.00,10.39,13.02,"16,260","17,300","18,710","21,620","27,080",,
"11-1010","Chief Executives","broad","255,940",0.6,85.02,"176,840",0.3,36.65,52.86,80.84,"#","#","76,220","109,940","168,140","#","#",,
"11-1011","Chief Executives","detailed","255,940",0.6,85.02,"176,840",0.3,36.65,52.86,80.84,"#","#","76,220","109,940","168,140","#","#",,
"45-2092","Farmworkers and Laborers, Crop, Nursery, and Greenhouse","detailed","253,670",1.9,9.61,"19,990",0.5,8.20,8.50,8.98,9.84,12.46,"17,050","17,670","18,670","20,460","25,910",,
"17-2140","Mechanical Engineers","broad","252,540",1.5,40.75,"84,770",0.6,25.01,31.02,38.74,48.38,58.43,"52,030","64,530","80,580","100,620","121,530",,
"17-2141","Mechanical Engineers","detailed","252,540",1.5,40.75,"84,770",0.6,25.01,31.02,38.74,48.38,58.43,"52,030","64,530","80,580","100,620","121,530",,
"41-9040","Telemarketers","broad","245,550",1.7,12.29,"25,570",0.7,8.17,9.00,10.74,14.05,18.58,"17,000","18,710","22,330","29,210","38,640",,
"41-9041","Telemarketers","detailed","245,550",1.7,12.29,"25,570",0.7,8.17,9.00,10.74,14.05,18.58,"17,000","18,710","22,330","29,210","38,640",,
"49-9050","Line Installers and Repairers","broad","245,480",1.6,27.24,"56,670",0.5,14.58,19.22,27.99,34.43,40.19,"30,340","39,970","58,210","71,620","83,590",,
"17-2110","Industrial Engineers, Including Health and Safety","broad","243,620",1.1,39.36,"81,870",0.4,24.38,30.45,37.83,46.46,56.89,"50,700","63,330","78,690","96,630","118,340",,
"41-1012","First-Line Supervisors of Non-Retail Sales Workers","detailed","243,420",0.7,39.58,"82,320",0.4,17.54,23.89,33.68,48.15,69.50,"36,480","49,680","70,060","100,140","144,550",,
"49-9020","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","broad","240,480",1.3,22.03,"45,830",0.5,13.14,16.40,20.98,27.07,33.17,"27,330","34,120","43,640","56,300","68,990",,
"49-9021","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","detailed","240,480",1.3,22.03,"45,830",0.5,13.14,16.40,20.98,27.07,33.17,"27,330","34,120","43,640","56,300","68,990",,
"13-2051","Financial Analysts","detailed","239,810",1.3,42.98,"89,410",0.7,22.66,28.35,37.00,49.72,71.36,"47,130","58,970","76,950","103,410","148,430",,
"35-3040","Food Servers, Nonrestaurant","broad","237,740",1.3,10.58,"22,010",0.5,7.94,8.55,9.44,11.62,15.08,"16,500","17,790","19,640","24,160","31,370",,
"35-3041","Food Servers, Nonrestaurant","detailed","237,740",1.3,10.58,"22,010",0.5,7.94,8.55,9.44,11.62,15.08,"16,500","17,790","19,640","24,160","31,370",,
"21-1012","Educational, Guidance, School, and Vocational Counselors","detailed","237,480",0.9,27.00,"56,170",0.7,15.35,19.72,25.77,33.35,41.67,"31,920","41,020","53,610","69,370","86,680",,
"19-3000","Social Scientists and Related Workers","minor","235,390",0.9,35.51,"73,870",0.4,18.07,24.58,33.31,43.60,54.80,"37,590","51,120","69,290","90,690","113,990",,
"49-2090","Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers","broad","235,330",1.3,23.22,"48,310",0.4,12.74,16.79,22.48,28.94,35.01,"26,500","34,930","46,770","60,190","72,830",,
"39-9031","Fitness Trainers and Aerobics Instructors","detailed","234,070",1.4,17.74,"36,900",0.9,8.48,9.76,15.25,22.72,31.99,"17,630","20,310","31,720","47,250","66,530",,
"29-2040","Emergency Medical Technicians and Paramedics","broad","232,860",1.2,16.53,"34,370",1.1,9.70,11.81,14.91,19.56,25.74,"20,180","24,560","31,020","40,680","53,550",,
"29-2041","Emergency Medical Technicians and Paramedics","detailed","232,860",1.2,16.53,"34,370",1.1,9.70,11.81,14.91,19.56,25.74,"20,180","24,560","31,020","40,680","53,550",,
"49-3030","Bus and Truck Mechanics and Diesel Engine Specialists","broad","230,030",1.1,20.99,"43,660",0.3,12.89,16.18,20.35,25.45,30.41,"26,820","33,660","42,320","52,930","63,250",,
"49-3031","Bus and Truck Mechanics and Diesel Engine Specialists","detailed","230,030",1.1,20.99,"43,660",0.3,12.89,16.18,20.35,25.45,30.41,"26,820","33,660","42,320","52,930","63,250",,
"27-2020","Athletes, Coaches, Umpires, and Related Workers","broad","229,830",1.3,"*","38,520",1.1,"*","*","*","*","*","17,230","19,150","28,580","45,140","67,670","TRUE",
"43-4080","Hotel, Motel, and Resort Desk Clerks","broad","229,000",0.9,10.56,"21,960",0.4,7.98,8.65,9.78,11.59,14.53,"16,590","17,990","20,340","24,110","30,220",,
"43-4081","Hotel, Motel, and Resort Desk Clerks","detailed","229,000",0.9,10.56,"21,960",0.4,7.98,8.65,9.78,11.59,14.53,"16,590","17,990","20,340","24,110","30,220",,
"13-1040","Compliance Officers","broad","227,500",0.6,31.23,"64,960",0.3,17.18,22.25,29.82,38.08,47.00,"35,730","46,280","62,020","79,200","97,760",,
"13-1041","Compliance Officers","detailed","227,500",0.6,31.23,"64,960",0.3,17.18,22.25,29.82,38.08,47.00,"35,730","46,280","62,020","79,200","97,760",,
"43-9040","Insurance Claims and Policy Processing Clerks","broad","226,260",1.5,17.93,"37,300",0.4,12.11,14.08,17.17,21.07,25.27,"25,180","29,290","35,700","43,820","52,560",,
"43-9041","Insurance Claims and Policy Processing Clerks","detailed","226,260",1.5,17.93,"37,300",0.4,12.11,14.08,17.17,21.07,25.27,"25,180","29,290","35,700","43,820","52,560",,
"11-9032","Education Administrators, Elementary and Secondary School","detailed","225,970",0.6,"*","90,800",1.1,"*","*","*","*","*","58,530","70,920","87,760","108,730","130,810","TRUE",
"43-9190","Miscellaneous Office and Administrative Support Workers","broad","225,310",2.2,15.90,"33,070",0.6,8.91,10.80,14.94,19.45,24.71,"18,540","22,470","31,060","40,450","51,390",,
"43-9199","Office and Administrative Support Workers, All Other","detailed","225,310",2.2,15.90,"33,070",0.6,8.91,10.80,14.94,19.45,24.71,"18,540","22,470","31,060","40,450","51,390",,
"49-2020","Radio and Telecommunications Equipment Installers and Repairers","broad","224,000",1.5,25.57,"53,180",0.5,14.60,18.86,25.86,32.33,36.00,"30,360","39,220","53,790","67,250","74,870",,
"17-2112","Industrial Engineers","detailed","220,130",1.2,39.47,"82,100",0.4,24.60,30.60,37.92,46.38,56.87,"51,180","63,640","78,860","96,460","118,300",,
"51-9199","Production Workers, All Other","detailed","218,740",2.4,14.61,"30,380",1.1,8.56,9.85,12.95,17.74,23.28,"17,790","20,480","26,940","36,890","48,420",,
"41-2022","Parts Salespersons","detailed","218,270",1.1,15.54,"32,320",0.4,8.96,10.84,14.21,18.82,23.93,"18,640","22,550","29,550","39,150","49,770",,
"13-1150","Training and Development Specialists","broad","217,930",1.1,28.64,"59,560",0.4,15.34,19.92,26.89,35.61,44.94,"31,910","41,440","55,930","74,070","93,470",,
"13-1151","Training and Development Specialists","detailed","217,930",1.1,28.64,"59,560",0.4,15.34,19.92,26.89,35.61,44.94,"31,910","41,440","55,930","74,070","93,470",,
"43-6012","Legal Secretaries","detailed","216,730",1.4,21.34,"44,380",0.5,12.62,15.74,20.27,26.27,32.59,"26,250","32,730","42,170","54,650","67,790",,
"53-2000","Air Transportation Workers","minor","216,470",3.1,"*","83,340",1.7,"*","*","*","*","*","31,800","38,300","68,210","112,570","158,850","TRUE",
"47-3000","Helpers, Construction Trades","minor","210,460",1.4,13.57,"28,230",0.6,8.76,10.30,12.77,15.86,18.93,"18,220","21,410","26,570","33,000","39,370",,
"47-3010","Helpers, Construction Trades","broad","210,460",1.4,13.57,"28,230",0.6,8.76,10.30,12.77,15.86,18.93,"18,220","21,410","26,570","33,000","39,370",,
"27-4000","Media and Communication Equipment Workers","minor","209,640",1.8,22.76,"47,350",0.9,9.21,12.61,18.97,29.17,40.96,"19,160","26,220","39,450","60,670","85,190",,
"43-4150","Order Clerks","broad","208,800",1.3,15.04,"31,280",0.4,8.95,10.92,14.18,18.20,22.68,"18,610","22,710","29,480","37,860","47,170",,
"43-4151","Order Clerks","detailed","208,800",1.3,15.04,"31,280",0.4,8.95,10.92,14.18,18.20,22.68,"18,610","22,710","29,480","37,860","47,170",,
"25-1070","Health Teachers, Postsecondary","broad","208,350",1.8,"*","91,810",2.0,"*","*","*","*","*","38,630","52,460","73,920","112,800","174,230","TRUE",
"49-2022","Telecommunications Equipment Installers and Repairers, Except Line Installers","detailed","208,220",1.5,25.82,"53,710",0.5,14.83,19.20,26.22,32.52,36.08,"30,840","39,930","54,530","67,640","75,040",,
"11-9020","Construction Managers","broad","207,580",1.0,43.73,"90,960",0.4,23.89,30.67,39.80,52.69,69.48,"49,680","63,790","82,790","109,600","144,520",,
"11-9021","Construction Managers","detailed","207,580",1.0,43.73,"90,960",0.4,23.89,30.67,39.80,52.69,69.48,"49,680","63,790","82,790","109,600","144,520",,
"43-9021","Data Entry Keyers","detailed","207,280",1.1,14.05,"29,220",0.3,9.29,10.97,13.47,16.59,20.00,"19,330","22,810","28,010","34,500","41,610",,
"25-1199","Postsecondary Teachers, All Other","detailed","204,380",2.6,"*","77,500",2.6,"*","*","*","*","*","26,800","42,570","64,290","96,480","145,340","TRUE",
"27-2022","Coaches and Scouts","detailed","201,800",1.4,"*","36,680",0.9,"*","*","*","*","*","17,210","19,160","28,360","44,860","65,910","TRUE",
"27-3030","Public Relations Specialists","broad","201,280",1.0,29.80,"61,980",0.7,14.79,19.27,26.04,35.63,48.57,"30,760","40,080","54,170","74,110","101,030",,
"27-3031","Public Relations Specialists","detailed","201,280",1.0,29.80,"61,980",0.7,14.79,19.27,26.04,35.63,48.57,"30,760","40,080","54,170","74,110","101,030",,
"51-7000","Woodworkers","minor","200,680",1.2,14.49,"30,140",0.4,8.99,10.84,13.67,17.25,21.45,"18,710","22,540","28,440","35,880","44,630",,
"41-9020","Real Estate Brokers and Sales Agents","broad","199,830",1.3,27.50,"57,210",1.2,10.18,13.66,20.19,33.11,52.14,"21,180","28,410","41,990","68,860","108,440",,
"51-6010","Laundry and Dry-Cleaning Workers","broad","198,750",1.3,10.35,"21,540",0.4,7.95,8.59,9.58,11.49,14.25,"16,540","17,870","19,930","23,890","29,640",,
"51-6011","Laundry and Dry-Cleaning Workers","detailed","198,750",1.3,10.35,"21,540",0.4,7.95,8.59,9.58,11.49,14.25,"16,540","17,870","19,930","23,890","29,640",,
"25-2052","Special Education Teachers, Kindergarten and Elementary School","detailed","197,740",1.1,"*","56,700",0.9,"*","*","*","*","*","35,700","43,180","53,820","67,860","84,440","TRUE",
"51-2022","Electrical and Electronic Equipment Assemblers","detailed","197,500",1.8,14.89,"30,970",0.5,9.21,10.96,13.85,17.60,22.18,"19,150","22,810","28,810","36,600","46,120",,
"53-1030","First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators","broad","197,300",0.8,26.65,"55,430",0.3,15.19,19.52,25.60,32.75,39.51,"31,590","40,610","53,240","68,110","82,170",,
"53-1031","First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators","detailed","197,300",0.8,26.65,"55,430",0.3,15.19,19.52,25.60,32.75,39.51,"31,590","40,610","53,240","68,110","82,170",,
"43-4110","Interviewers, Except Eligibility and Loan","broad","196,660",1.8,15.04,"31,270",0.5,9.33,11.72,14.38,17.83,21.82,"19,410","24,370","29,910","37,090","45,380",,
"43-4111","Interviewers, Except Eligibility and Loan","detailed","196,660",1.8,15.04,"31,270",0.5,9.33,11.72,14.38,17.83,21.82,"19,410","24,370","29,910","37,090","45,380",,
"13-1050","Cost Estimators","broad","195,230",0.8,30.33,"63,080",0.3,16.60,21.46,28.30,37.08,46.48,"34,520","44,630","58,860","77,130","96,670",,
"13-1051","Cost Estimators","detailed","195,230",0.8,30.33,"63,080",0.3,16.60,21.46,28.30,37.08,46.48,"34,520","44,630","58,860","77,130","96,670",,
"29-2034","Radiologic Technologists","detailed","194,790",0.9,27.14,"56,450",0.7,17.82,21.39,26.26,31.99,37.10,"37,060","44,490","54,620","66,550","77,160",,
"43-4130","Loan Interviewers and Clerks","broad","192,010",1.7,17.40,"36,180",0.4,10.89,13.49,16.98,20.87,24.36,"22,650","28,060","35,310","43,410","50,670",,
"43-4131","Loan Interviewers and Clerks","detailed","192,010",1.7,17.40,"36,180",0.4,10.89,13.49,16.98,20.87,24.36,"22,650","28,060","35,310","43,410","50,670",,
"51-3090","Miscellaneous Food Processing Workers","broad","191,690",1.6,13.34,"27,750",0.5,8.55,9.86,12.39,16.23,20.16,"17,780","20,500","25,780","33,770","41,930",,
"29-1123","Physical Therapists","detailed","191,460",0.9,38.99,"81,110",0.3,26.74,32.19,38.39,44.64,53.86,"55,620","66,950","79,860","92,860","112,020",,
"27-1024","Graphic Designers","detailed","191,440",1.0,23.43,"48,730",0.4,12.62,16.13,21.22,28.55,37.25,"26,250","33,550","44,150","59,390","77,490",,
"29-2020","Dental Hygienists","broad","190,290",1.3,33.99,"70,700",0.6,22.38,27.95,33.75,40.66,46.29,"46,540","58,130","70,210","84,570","96,280",,
"29-2021","Dental Hygienists","detailed","190,290",1.3,33.99,"70,700",0.6,22.38,27.95,33.75,40.66,46.29,"46,540","58,130","70,210","84,570","96,280",,
"17-3010","Drafters","broad","189,570",1.0,25.25,"52,520",0.4,15.48,19.07,23.86,29.97,37.39,"32,190","39,670","49,630","62,330","77,770",,
"11-9050","Food Service Managers","broad","189,510",1.3,25.28,"52,580",0.5,14.82,18.32,23.06,29.83,38.96,"30,820","38,110","47,960","62,050","81,030",,
"11-9051","Food Service Managers","detailed","189,510",1.3,25.28,"52,580",0.5,14.82,18.32,23.06,29.83,38.96,"30,820","38,110","47,960","62,050","81,030",,
"47-2140","Painters and Paperhangers","broad","187,790",1.2,18.55,"38,590",0.7,11.05,13.48,16.91,22.15,28.97,"22,990","28,030","35,180","46,080","60,250",,
"11-9040","Architectural and Engineering Managers","broad","187,640",1.4,64.06,"133,240",0.6,38.61,48.09,60.03,74.51,"#","80,300","100,040","124,870","154,990","#",,
"11-9041","Architectural and Engineering Managers","detailed","187,640",1.4,64.06,"133,240",0.6,38.61,48.09,60.03,74.51,"#","80,300","100,040","124,870","154,990","#",,
"27-3040","Writers and Editors","broad","187,190",1.1,31.31,"65,130",0.7,14.85,19.86,27.62,37.51,51.28,"30,900","41,320","57,460","78,020","106,660",,
"15-1190","Miscellaneous Computer Occupations","broad","185,730",1.0,39.36,"81,860",0.5,20.88,29.48,39.01,48.96,57.38,"43,430","61,310","81,140","101,840","119,350",,
"15-1199","Computer Occupations, All Other","detailed","185,730",1.0,39.36,"81,860",0.5,20.88,29.48,39.01,48.96,57.38,"43,430","61,310","81,140","101,840","119,350",,
"43-5032","Dispatchers, Except Police, Fire, and Ambulance","detailed","184,890",1.2,18.49,"38,450",0.6,10.30,13.12,17.16,22.34,28.69,"21,430","27,290","35,690","46,460","59,670",,
"47-2141","Painters, Construction and Maintenance","detailed","184,330",1.3,18.55,"38,590",0.7,11.05,13.48,16.92,22.15,28.96,"22,980","28,040","35,190","46,080","60,240",,
"51-4031","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","detailed","182,570",1.6,14.95,"31,090",0.5,9.52,11.40,14.27,17.70,21.60,"19,810","23,710","29,690","36,820","44,930",,
"29-2070","Medical Records and Health Information Technicians","broad","182,370",0.9,17.68,"36,770",0.3,10.70,12.94,16.42,21.33,27.02,"22,250","26,920","34,160","44,360","56,200",,
"29-2071","Medical Records and Health Information Technicians","detailed","182,370",0.9,17.68,"36,770",0.3,10.70,12.94,16.42,21.33,27.02,"22,250","26,920","34,160","44,360","56,200",,
"25-3020","Self-Enrichment Education Teachers","broad","179,650",1.6,19.40,"40,360",0.9,8.85,11.51,16.98,24.70,33.92,"18,410","23,940","35,320","51,370","70,550",,
"25-3021","Self-Enrichment Education Teachers","detailed","179,650",1.6,19.40,"40,360",0.9,8.85,11.51,16.98,24.70,33.92,"18,410","23,940","35,320","51,370","70,550",,
"43-4190","Miscellaneous Information and Record Clerks","broad","178,650",1.4,18.15,"37,750",0.3,11.43,14.14,17.91,21.78,25.29,"23,770","29,410","37,240","45,300","52,590",,
"43-4199","Information and Record Clerks, All Other","detailed","178,650",1.4,18.15,"37,750",0.3,11.43,14.14,17.91,21.78,25.29,"23,770","29,410","37,240","45,300","52,590",,
"51-9020","Crushing, Grinding, Polishing, Mixing, and Blending Workers","broad","177,000",1.6,16.28,"33,870",0.5,9.65,12.01,15.52,19.87,24.27,"20,070","24,970","32,290","41,320","50,480",,
"13-2052","Personal Financial Advisors","detailed","175,470",1.7,43.66,"90,820",1.3,15.52,21.22,32.46,53.58,"#","32,280","44,140","67,520","111,450","#",,
"39-1000","Supervisors of Personal Care and Service Workers","minor","174,450",1.0,19.10,"39,740",0.4,10.76,13.45,17.61,23.41,29.61,"22,380","27,970","36,640","48,680","61,580",,
"51-5112","Printing Press Operators","detailed","173,010",1.3,17.35,"36,090",0.5,9.88,12.67,16.68,21.28,26.19,"20,550","26,350","34,690","44,260","54,480",,
"43-3050","Payroll and Timekeeping Clerks","broad","172,740",0.7,18.69,"38,880",0.2,11.96,14.84,18.12,22.17,26.86,"24,870","30,860","37,690","46,110","55,860",,
"43-3051","Payroll and Timekeeping Clerks","detailed","172,740",0.7,18.69,"38,880",0.2,11.96,14.84,18.12,22.17,26.86,"24,870","30,860","37,690","46,110","55,860",,
"11-2021","Marketing Managers","detailed","171,430",0.8,62.44,"129,870",0.4,30.12,41.22,57.44,77.31,"#","62,650","85,740","119,480","160,810","#",,
"37-1011","First-Line Supervisors of Housekeeping and Janitorial Workers","detailed","170,690",0.8,18.19,"37,830",0.3,10.57,13.08,16.98,22.16,28.12,"21,980","27,200","35,310","46,090","58,480",,
"53-1020","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand","broad","168,910",0.7,22.69,"47,180",0.2,13.45,16.93,21.72,27.54,33.95,"27,980","35,220","45,180","57,280","70,620",,
"53-1021","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand","detailed","168,910",0.7,22.69,"47,180",0.2,13.45,16.93,21.72,27.54,33.95,"27,980","35,220","45,180","57,280","70,620",,
"15-1152","Computer Network Support Specialists","detailed","167,980",1.4,30.27,"62,960",0.5,16.79,21.41,28.41,36.75,46.56,"34,930","44,530","59,090","76,450","96,850",,
"53-3040","Taxi Drivers and Chauffeurs","broad","167,360",1.3,12.09,"25,140",0.8,8.20,9.08,10.97,14.05,17.89,"17,050","18,890","22,820","29,220","37,200",,
"53-3041","Taxi Drivers and Chauffeurs","detailed","167,360",1.3,12.09,"25,140",0.8,8.20,9.08,10.97,14.05,17.89,"17,050","18,890","22,820","29,220","37,200",,
"49-3040","Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics","broad","163,490",1.1,21.53,"44,780",0.4,13.33,16.60,21.07,25.99,30.27,"27,730","34,540","43,820","54,060","62,960",,
"51-4010","Computer Control Programmers and Operators","broad","162,860",1.7,18.53,"38,550",0.5,11.54,14.07,17.67,21.94,27.27,"24,010","29,270","36,760","45,630","56,720",,
"53-3021","Bus Drivers, Transit and Intercity","detailed","162,840",2.2,18.50,"38,470",2.0,10.25,13.02,17.59,23.42,28.60,"21,320","27,070","36,600","48,720","59,480",,
"41-9022","Real Estate Sales Agents","detailed","162,560",1.4,24.97,"51,930",1.4,9.95,13.21,18.82,30.43,45.93,"20,700","27,470","39,140","63,300","95,540",,
"35-2015","Cooks, Short Order","detailed","162,320",2.6,10.21,"21,240",0.6,7.88,8.51,9.48,11.43,14.04,"16,390","17,710","19,730","23,770","29,200",,
"39-2000","Animal Care and Service Workers","minor","161,310",1.5,11.02,"22,920",0.5,7.95,8.59,9.60,12.22,16.44,"16,530","17,860","19,970","25,410","34,200",,
"29-2011","Medical and Clinical Laboratory Technologists","detailed","160,700",0.9,28.19,"58,640",0.3,19.03,23.37,27.69,33.14,37.93,"39,580","48,610","57,580","68,930","78,900",,
"17-2071","Electrical Engineers","detailed","160,560",1.4,44.14,"91,810",0.4,27.16,33.50,42.27,53.29,65.72,"56,490","69,690","87,920","110,850","136,690",,
"11-3050","Industrial Production Managers","broad","160,550",0.6,46.87,"97,490",0.3,26.08,33.19,42.88,55.92,72.12,"54,250","69,040","89,190","116,310","150,020",,
"11-3051","Industrial Production Managers","detailed","160,550",0.6,46.87,"97,490",0.3,26.08,33.19,42.88,55.92,72.12,"54,250","69,040","89,190","116,310","150,020",,
"11-9140","Property, Real Estate, and Community Association Managers","broad","159,570",1.2,30.56,"63,570",0.8,12.79,17.82,25.29,37.00,54.52,"26,600","37,060","52,610","76,950","113,400",,
"11-9141","Property, Real Estate, and Community Association Managers","detailed","159,570",1.2,30.56,"63,570",0.8,12.79,17.82,25.29,37.00,54.52,"26,600","37,060","52,610","76,950","113,400",,
"43-4070","File Clerks","broad","158,580",1.0,13.48,"28,030",0.4,8.62,10.01,12.59,16.23,19.82,"17,930","20,810","26,190","33,770","41,230",,
"43-4071","File Clerks","detailed","158,580",1.0,13.48,"28,030",0.4,8.62,10.01,12.59,16.23,19.82,"17,930","20,810","26,190","33,770","41,230",,
"51-3022","Meat, Poultry, and Fish Cutters and Trimmers","detailed","158,480",2.7,11.39,"23,690",0.8,8.35,9.42,10.98,13.09,14.76,"17,380","19,600","22,830","27,230","30,690",,
"29-2012","Medical and Clinical Laboratory Technicians","detailed","157,920",1.3,18.91,"39,340",0.4,11.92,14.30,17.90,22.54,27.75,"24,790","29,750","37,240","46,880","57,710",,
"27-2010","Actors, Producers, and Directors","broad","157,550",8.0,40.64,"84,520",3.5,10.26,16.73,28.89,51.91,"#","21,340","34,800","60,080","107,980","#",,
"25-2012","Kindergarten Teachers, Except Special Education","detailed","157,370",1.1,"*","53,030",1.2,"*","*","*","*","*","32,450","40,300","50,120","63,830","78,230","TRUE",
"51-3010","Bakers","broad","157,230",1.6,12.05,"25,060",0.4,8.27,9.18,11.13,14.11,17.78,"17,200","19,100","23,140","29,360","36,980",,
"51-3011","Bakers","detailed","157,230",1.6,12.05,"25,060",0.4,8.27,9.18,11.13,14.11,17.78,"17,200","19,100","23,140","29,360","36,980",,
"31-2000","Occupational Therapy and Physical Therapist Assistants and Aides","minor","155,970",1.2,20.63,"42,920",0.5,9.78,12.67,20.25,27.39,33.30,"20,340","26,350","42,120","56,970","69,270",,
"25-1071","Health Specialties Teachers, Postsecondary","detailed","152,130",2.2,"*","100,370",2.4,"*","*","*","*","*","38,060","53,170","81,140","130,100","#","TRUE",
"17-1000","Architects, Surveyors, and Cartographers","minor","150,150",1.2,34.16,"71,040",0.5,18.61,24.05,31.91,41.76,52.43,"38,720","50,020","66,380","86,850","109,050",,
"39-2020","Nonfarm Animal Caretakers","broad","150,140",1.6,10.75,"22,370",0.5,7.93,8.55,9.46,11.82,15.63,"16,490","17,790","19,690","24,590","32,500",,
"39-2021","Nonfarm Animal Caretakers","detailed","150,140",1.6,10.75,"22,370",0.5,7.93,8.55,9.46,11.82,15.63,"16,490","17,790","19,690","24,590","32,500",,
"13-2090","Miscellaneous Financial Specialists","broad","147,630",1.7,32.22,"67,020",1.0,17.14,21.62,29.40,38.93,50.94,"35,640","44,970","61,160","80,980","105,950",,
"13-2099","Financial Specialists, All Other","detailed","147,630",1.7,32.22,"67,020",1.0,17.14,21.62,29.40,38.93,50.94,"35,640","44,970","61,160","80,980","105,950",,
"41-3010","Advertising Sales Agents","broad","145,500",1.6,27.54,"57,270",0.9,11.02,15.15,22.26,34.13,49.60,"22,930","31,520","46,290","70,980","103,170",,
"41-3011","Advertising Sales Agents","detailed","145,500",1.6,27.54,"57,270",0.9,11.02,15.15,22.26,34.13,49.60,"22,930","31,520","46,290","70,980","103,170",,
