"Education and training classification by detailed occupation",,,,
"This table has been updated to correct errors in the category assignments for select occupations. More information on the changes is available at http://www.bls.gov/errata/emp_corrections_01132012.htm",,,,
"2010 National Employment Matrix title and code",,"Typical education needed for entry","Work experience in a related occupation","Typical on-the-job training needed to attain competency in the occupation"
"Animal Trainers","39-2011","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Nonfarm Animal Caretakers","39-2021","Less than high school","None","Short-term on-the-job training"
"Gaming Dealers","39-3011","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Gaming and Sports Book Writers and Runners","39-3012","High school diploma or equivalent","None","Short-term on-the-job training"
"Gaming Service Workers, All Other","39-3019","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Motion Picture Projectionists","39-3021","Less than high school","None","Short-term on-the-job training"
"Ushers, Lobby Attendants, and Ticket Takers","39-3031","Less than high school","None","Short-term on-the-job training"
"Amusement and Recreation Attendants","39-3091","Less than high school","None","Short-term on-the-job training"
"Costume Attendants","39-3092","High school diploma or equivalent","None","Short-term on-the-job training"
"Locker Room, Coatroom, and Dressing Room Attendants","39-3093","High school diploma or equivalent","None","Short-term on-the-job training"
"Entertainment Attendants and Related Workers, All Other","39-3099","High school diploma or equivalent","None","Short-term on-the-job training"
"Embalmers","39-4011","Postsecondary non-degree award","None","Short-term on-the-job training"
"Funeral Attendants","39-4021","High school diploma or equivalent","None","Short-term on-the-job training"
"Funeral Service Managers, Directors, Morticians, and Undertakers","39-4831","Associate's degree","None","Apprenticeship"
"Barbers","39-5011","Postsecondary non-degree award","None","None"
"Hairdressers, Hairstylists, and Cosmetologists","39-5012","Postsecondary non-degree award","None","None"
"Makeup Artists, Theatrical and Performance","39-5091","Postsecondary non-degree award","None","None"
"Manicurists and Pedicurists","39-5092","Postsecondary non-degree award","None","None"
"Shampooers","39-5093","Less than high school","None","Short-term on-the-job training"
"Skincare Specialists","39-5094","Postsecondary non-degree award","None","None"
"Baggage Porters and Bellhops","39-6011","High school diploma or equivalent","None","Short-term on-the-job training"
"Concierges","39-6012","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Tour Guides and Escorts","39-7011","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Travel Guides","39-7012","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Childcare Workers","39-9011","High school diploma or equivalent","None","Short-term on-the-job training"
"Personal Care Aides","39-9021","Less than high school","None","Short-term on-the-job training"
"Fitness Trainers and Aerobics Instructors","39-9031","High school diploma or equivalent","None","Short-term on-the-job training"
"Recreation Workers","39-9032","Bachelor's degree","None","None"
"Residential Advisors","39-9041","Some college, no degree","Less than 1 year","Short-term on-the-job training"
"Personal Care and Service Workers, All Other","39-9099","High school diploma or equivalent","None","Short-term on-the-job training"
"First-Line Supervisors of Retail Sales Workers","41-1011","High school diploma or equivalent","1 to 5 years","None"
"First-Line Supervisors of Non-Retail Sales Workers","41-1012","High school diploma or equivalent","More than 5 years","None"
"Cashiers","41-2011","Less than high school","None","Short-term on-the-job training"
"Gaming Change Persons and Booth Cashiers","41-2012","High school diploma or equivalent","None","Short-term on-the-job training"
"Counter and Rental Clerks","41-2021","Less than high school","None","Short-term on-the-job training"
"Parts Salespersons","41-2022","Less than high school","None","Moderate-term on-the-job training"
"Retail Salespersons","41-2031","Less than high school","None","Short-term on-the-job training"
"Advertising Sales Agents","41-3011","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Insurance Sales Agents","41-3021","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Securities, Commodities, and Financial Services Sales Agents","41-3031","Bachelor's degree","None","Moderate-term on-the-job training"
"Travel Agents","41-3041","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Sales Representatives, Services, All Other","41-3099","High school diploma or equivalent","None","Short-term on-the-job training"
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","41-4011","Bachelor's degree","None","Moderate-term on-the-job training"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","41-4012","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Demonstrators and Product Promoters","41-9011","High school diploma or equivalent","None","Short-term on-the-job training"
"Models","41-9012","Less than high school","None","None"
"Real Estate Brokers","41-9021","High school diploma or equivalent","1 to 5 years","None"
"Real Estate Sales Agents","41-9022","High school diploma or equivalent","None","Long-term on-the-job training"
"Sales Engineers","41-9031","Bachelor's degree","None","Moderate-term on-the-job training"
"Telemarketers","41-9041","Less than high school","None","Short-term on-the-job training"
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers","41-9091","High school diploma or equivalent","None","Short-term on-the-job training"
"Sales and Related Workers, All Other","41-9799","High school diploma or equivalent","None","Moderate-term on-the-job training"
"First-Line Supervisors of Office and Administrative Support Workers","43-1011","High school diploma or equivalent","1 to 5 years","None"
"Switchboard Operators, Including Answering Service","43-2011","High school diploma or equivalent","None","Short-term on-the-job training"
"Telephone Operators","43-2021","High school diploma or equivalent","None","Short-term on-the-job training"
"Communications Equipment Operators, All Other","43-2099","High school diploma or equivalent","None","Short-term on-the-job training"
"Bill and Account Collectors","43-3011","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Billing and Posting Clerks","43-3021","High school diploma or equivalent","None","Short-term on-the-job training"
"Bookkeeping, Accounting, and Auditing Clerks","43-3031","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Gaming Cage Workers","43-3041","High school diploma or equivalent","None","Short-term on-the-job training"
"Payroll and Timekeeping Clerks","43-3051","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Procurement Clerks","43-3061","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Tellers","43-3071","High school diploma or equivalent","None","Short-term on-the-job training"
"Brokerage Clerks","43-4011","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Correspondence Clerks","43-4021","High school diploma or equivalent","None","Short-term on-the-job training"
"Court, Municipal, and License Clerks","43-4031","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Credit Authorizers, Checkers, and Clerks","43-4041","High school diploma or equivalent","None","Short-term on-the-job training"
"Customer Service Representatives","43-4051","High school diploma or equivalent","None","Short-term on-the-job training"
"Eligibility Interviewers, Government Programs","43-4061","Associate's degree","None","Moderate-term on-the-job training"
"File Clerks","43-4071","High school diploma or equivalent","None","Short-term on-the-job training"
"Hotel, Motel, and Resort Desk Clerks","43-4081","High school diploma or equivalent","None","Short-term on-the-job training"
"Interviewers, Except Eligibility and Loan","43-4111","High school diploma or equivalent","None","Short-term on-the-job training"
"Library Assistants, Clerical","43-4121","High school diploma or equivalent","None","Short-term on-the-job training"
"Loan Interviewers and Clerks","43-4131","High school diploma or equivalent","None","Short-term on-the-job training"
"New Accounts Clerks","43-4141","High school diploma or equivalent","None","Short-term on-the-job training"
"Order Clerks","43-4151","High school diploma or equivalent","None","Short-term on-the-job training"
"Human Resources Assistants, Except Payroll and Timekeeping","43-4161","High school diploma or equivalent","None","Short-term on-the-job training"
"Receptionists and Information Clerks","43-4171","High school diploma or equivalent","None","Short-term on-the-job training"
"Reservation and Transportation Ticket Agents and Travel Clerks","43-4181","High school diploma or equivalent","None","Short-term on-the-job training"
"Information and Record Clerks, All Other","43-4199","High school diploma or equivalent","None","Short-term on-the-job training"
"Cargo and Freight Agents","43-5011","High school diploma or equivalent","None","Short-term on-the-job training"
"Couriers and Messengers","43-5021","High school diploma or equivalent","None","Short-term on-the-job training"
"Police, Fire, and Ambulance Dispatchers","43-5031","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Dispatchers, Except Police, Fire, and Ambulance","43-5032","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Meter Readers, Utilities","43-5041","High school diploma or equivalent","None","Short-term on-the-job training"
"Postal Service Clerks","43-5051","High school diploma or equivalent","None","Short-term on-the-job training"
"Postal Service Mail Carriers","43-5052","High school diploma or equivalent","None","Short-term on-the-job training"
"Postal Service Mail Sorters, Processors, and Processing Machine Operators","43-5053","High school diploma or equivalent","None","Short-term on-the-job training"
"Production, Planning, and Expediting Clerks","43-5061","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Shipping, Receiving, and Traffic Clerks","43-5071","High school diploma or equivalent","None","Short-term on-the-job training"
"Stock Clerks and Order Fillers","43-5081","Less than high school","None","Short-term on-the-job training"
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","43-5111","High school diploma or equivalent","None","Short-term on-the-job training"
"Executive Secretaries and Executive Administrative Assistants","43-6011","High school diploma or equivalent","1 to 5 years","None"
"Legal Secretaries","43-6012","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Medical Secretaries","43-6013","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","43-6014","High school diploma or equivalent","None","Short-term on-the-job training"
"Computer Operators","43-9011","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Data Entry Keyers","43-9021","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Word Processors and Typists","43-9022","High school diploma or equivalent","None","Short-term on-the-job training"
"Desktop Publishers","43-9031","Associate's degree","None","Short-term on-the-job training"
"Insurance Claims and Policy Processing Clerks","43-9041","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Mail Clerks and Mail Machine Operators, Except Postal Service","43-9051","High school diploma or equivalent","None","Short-term on-the-job training"
"Office Clerks, General","43-9061","High school diploma or equivalent","None","Short-term on-the-job training"
"Office Machine Operators, Except Computer","43-9071","High school diploma or equivalent","None","Short-term on-the-job training"
"Proofreaders and Copy Markers","43-9081","Bachelor's degree","None","Moderate-term on-the-job training"
"Statistical Assistants","43-9111","Bachelor's degree","None","None"
"Office and Administrative Support Workers, All Other","43-9799","High school diploma or equivalent","None","Short-term on-the-job training"
"First-Line Supervisors of Farming, Fishing, and Forestry Workers","45-1011","High school diploma or equivalent","1 to 5 years","None"
"Agricultural Inspectors","45-2011","Bachelor's degree","None","Moderate-term on-the-job training"
"Animal Breeders","45-2021","High school diploma or equivalent","1 to 5 years","Short-term on-the-job training"
"Graders and Sorters, Agricultural Products","45-2041","Less than high school","None","Short-term on-the-job training"
"Miscellaneous Agricultural Workers","45-2090","Less than high school","None","Short-term on-the-job training"
"Fishers and Related Fishing Workers","45-3011","Less than high school","None","Moderate-term on-the-job training"
"Hunters and Trappers","45-3021","Less than high school","None","Short-term on-the-job training"
"Forest and Conservation Workers","45-4011","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Fallers","45-4021","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Logging Equipment Operators","45-4022","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Log Graders and Scalers","45-4023","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Logging Workers, All Other","45-4029","High school diploma or equivalent","None","Moderate-term on-the-job training"
"First-Line Supervisors of Construction Trades and Extraction Workers","47-1011","High school diploma or equivalent","More than 5 years","None"
"Boilermakers","47-2011","High school diploma or equivalent","None","Apprenticeship"
"Brickmasons and Blockmasons","47-2021","High school diploma or equivalent","None","Apprenticeship"
"Stonemasons","47-2022","High school diploma or equivalent","None","Apprenticeship"
"Carpenters","47-2031","High school diploma or equivalent","None","Apprenticeship"
"Carpet Installers","47-2041","Less than high school","None","Short-term on-the-job training"
"Floor Layers, Except Carpet, Wood, and Hard Tiles","47-2042","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Floor Sanders and Finishers","47-2043","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Tile and Marble Setters","47-2044","Less than high school","None","Long-term on-the-job training"
"Cement Masons and Concrete Finishers","47-2051","Less than high school","None","Moderate-term on-the-job training"
"Terrazzo Workers and Finishers","47-2053","High school diploma or equivalent","None","Apprenticeship"
"Construction Laborers","47-2061","Less than high school","None","Short-term on-the-job training"
"Paving, Surfacing, and Tamping Equipment Operators","47-2071","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Pile-Driver Operators","47-2072","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Operating Engineers and Other Construction Equipment Operators","47-2073","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Drywall and Ceiling Tile Installers","47-2081","Less than high school","None","Moderate-term on-the-job training"
"Tapers","47-2082","Less than high school","None","Moderate-term on-the-job training"
"Electricians","47-2111","High school diploma or equivalent","None","Apprenticeship"
"Glaziers","47-2121","High school diploma or equivalent","None","Apprenticeship"
"Insulation Workers, Floor, Ceiling, and Wall","47-2131","Less than high school","None","Short-term on-the-job training"
"Insulation Workers, Mechanical","47-2132","High school diploma or equivalent","None","Apprenticeship"
"Painters, Construction and Maintenance","47-2141","Less than high school","None","Moderate-term on-the-job training"
"Paperhangers","47-2142","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Pipelayers","47-2151","High school diploma or equivalent","None","Short-term on-the-job training"
"Plumbers, Pipefitters, and Steamfitters","47-2152","High school diploma or equivalent","None","Apprenticeship"
"Plasterers and Stucco Masons","47-2161","Less than high school","None","Long-term on-the-job training"
"Reinforcing Iron and Rebar Workers","47-2171","High school diploma or equivalent","None","Apprenticeship"
"Roofers","47-2181","Less than high school","None","Moderate-term on-the-job training"
"Sheet Metal Workers","47-2211","High school diploma or equivalent","None","Apprenticeship"
"Structural Iron and Steel Workers","47-2221","High school diploma or equivalent","None","Apprenticeship"
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","47-3011","Less than high school","None","Short-term on-the-job training"
"Helpers--Carpenters","47-3012","Less than high school","None","Short-term on-the-job training"
"Helpers--Electricians","47-3013","High school diploma or equivalent","None","Short-term on-the-job training"
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","47-3014","Less than high school","None","Short-term on-the-job training"
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","47-3015","High school diploma or equivalent","None","Short-term on-the-job training"
"Helpers--Roofers","47-3016","Less than high school","None","Short-term on-the-job training"
"Helpers, Construction Trades, All Other","47-3019","Less than high school","None","Short-term on-the-job training"
"Construction and Building Inspectors","47-4011","High school diploma or equivalent","More than 5 years","Moderate-term on-the-job training"
"Elevator Installers and Repairers","47-4021","High school diploma or equivalent","None","Apprenticeship"
"Fence Erectors","47-4031","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Hazardous Materials Removal Workers","47-4041","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Highway Maintenance Workers","47-4051","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Rail-Track Laying and Maintenance Equipment Operators","47-4061","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Septic Tank Servicers and Sewer Pipe Cleaners","47-4071","Less than high school","None","Moderate-term on-the-job training"
"Segmental Pavers","47-4091","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Construction and Related Workers, All Other","47-4799","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Derrick Operators, Oil and Gas","47-5011","Less than high school","None","Short-term on-the-job training"
"Rotary Drill Operators, Oil and Gas","47-5012","Less than high school","None","Moderate-term on-the-job training"
"Service Unit Operators, Oil, Gas, and Mining","47-5013","Less than high school","None","Moderate-term on-the-job training"
"Earth Drillers, Except Oil and Gas","47-5021","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Explosives Workers, Ordnance Handling Experts, and Blasters","47-5031","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Continuous Mining Machine Operators","47-5041","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Mine Cutting and Channeling Machine Operators","47-5042","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Mining Machine Operators, All Other","47-5049","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Rock Splitters, Quarry","47-5051","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Roof Bolters, Mining","47-5061","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Roustabouts, Oil and Gas","47-5071","Less than high school","None","Moderate-term on-the-job training"
"Helpers--Extraction Workers","47-5081","High school diploma or equivalent","None","Short-term on-the-job training"
"Extraction Workers, All Other","47-5099","High school diploma or equivalent","None","Moderate-term on-the-job training"
"First-Line Supervisors of Mechanics, Installers, and Repairers","49-1011","High school diploma or equivalent","1 to 5 years","None"
"Computer, Automated Teller, and Office Machine Repairers","49-2011","Postsecondary non-degree award","None","None"
"Radio, Cellular, and Tower Equipment Installers and Repairs","49-2021","Associate's degree","None","Moderate-term on-the-job training"
"Telecommunications Equipment Installers and Repairers, Except Line Installers","49-2022","Postsecondary non-degree award","None","Moderate-term on-the-job training"
"Avionics Technicians","49-2091","Postsecondary non-degree award","None","None"
"Electric Motor, Power Tool, and Related Repairers","49-2092","Postsecondary non-degree award","None","Long-term on-the-job training"
"Electrical and Electronics Installers and Repairers, Transportation Equipment","49-2093","Postsecondary non-degree award","None","Long-term on-the-job training"
"Electrical and Electronics Repairers, Commercial and Industrial Equipment","49-2094","Postsecondary non-degree award","None","Long-term on-the-job training"
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","49-2095","Postsecondary non-degree award","None","Long-term on-the-job training"
"Electronic Equipment Installers and Repairers, Motor Vehicles","49-2096","Postsecondary non-degree award","None","Short-term on-the-job training"
"Electronic Home Entertainment Equipment Installers and Repairers","49-2097","Postsecondary non-degree award","None","None"
"Security and Fire Alarm Systems Installers","49-2098","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Aircraft Mechanics and Service Technicians","49-3011","Postsecondary non-degree award","None","None"
"Automotive Body and Related Repairers","49-3021","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Automotive Glass Installers and Repairers","49-3022","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Automotive Service Technicians and Mechanics","49-3023","High school diploma or equivalent","None","Long-term on-the-job training"
"Bus and Truck Mechanics and Diesel Engine Specialists","49-3031","High school diploma or equivalent","None","Long-term on-the-job training"
"Farm Equipment Mechanics and Service Technicians","49-3041","High school diploma or equivalent","None","Long-term on-the-job training"
"Mobile Heavy Equipment Mechanics, Except Engines","49-3042","High school diploma or equivalent","None","Long-term on-the-job training"
"Rail Car Repairers","49-3043","High school diploma or equivalent","None","Long-term on-the-job training"
"Motorboat Mechanics and Service Technicians","49-3051","High school diploma or equivalent","None","Long-term on-the-job training"
"Motorcycle Mechanics","49-3052","High school diploma or equivalent","None","Long-term on-the-job training"
"Outdoor Power Equipment and Other Small Engine Mechanics","49-3053","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Bicycle Repairers","49-3091","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Recreational Vehicle Service Technicians","49-3092","High school diploma or equivalent","None","Long-term on-the-job training"
"Tire Repairers and Changers","49-3093","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Mechanical Door Repairers","49-9011","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Control and Valve Installers and Repairers, Except Mechanical Door","49-9012","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","49-9021","Postsecondary non-degree award","None","Long-term on-the-job training"
"Home Appliance Repairers","49-9031","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Industrial Machinery Mechanics","49-9041","High school diploma or equivalent","None","Long-term on-the-job training"
"Maintenance Workers, Machinery","49-9043","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Millwrights","49-9044","High school diploma or equivalent","None","Long-term on-the-job training"
"Refractory Materials Repairers, Except Brickmasons","49-9045","Postsecondary non-degree award","None","Moderate-term on-the-job training"
"Electrical Power-Line Installers and Repairers","49-9051","High school diploma or equivalent","None","Long-term on-the-job training"
"Telecommunications Line Installers and Repairers","49-9052","High school diploma or equivalent","None","Long-term on-the-job training"
"Camera and Photographic Equipment Repairers","49-9061","Associate's degree","None","Long-term on-the-job training"
"Medical Equipment Repairers","49-9062","Associate's degree","None","Moderate-term on-the-job training"
"Musical Instrument Repairers and Tuners","49-9063","Postsecondary non-degree award","None","Long-term on-the-job training"
"Watch Repairers","49-9064","High school diploma or equivalent","None","Long-term on-the-job training"
"Precision Instrument and Equipment Repairers, All Other","49-9069","Associate's degree","None","Long-term on-the-job training"
"Maintenance and Repair Workers, General","49-9071","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Coin, Vending, and Amusement Machine Servicers and Repairers","49-9091","High school diploma or equivalent","None","Short-term on-the-job training"
"Commercial Divers","49-9092","Postsecondary non-degree award","None","Moderate-term on-the-job training"
"Fabric Menders, Except Garment","49-9093","Less than high school","None","Long-term on-the-job training"
"Locksmiths and Safe Repairers","49-9094","High school diploma or equivalent","None","Long-term on-the-job training"
"Manufactured Building and Mobile Home Installers","49-9095","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Riggers","49-9096","High school diploma or equivalent","None","Short-term on-the-job training"
"Signal and Track Switch Repairers","49-9097","Postsecondary non-degree award","None","Moderate-term on-the-job training"
"Helpers--Installation, Maintenance, and Repair Workers","49-9098","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Installation, Maintenance, and Repair Workers, All Other","49-9799","High school diploma or equivalent","None","Moderate-term on-the-job training"
"First-Line Supervisors of Production and Operating Workers","51-1011","Postsecondary non-degree award","1 to 5 years","None"
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","51-2011","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Coil Winders, Tapers, and Finishers","51-2021","High school diploma or equivalent","None","Short-term on-the-job training"
"Electrical and Electronic Equipment Assemblers","51-2022","High school diploma or equivalent","None","Short-term on-the-job training"
"Electromechanical Equipment Assemblers","51-2023","High school diploma or equivalent","None","Short-term on-the-job training"
"Engine and Other Machine Assemblers","51-2031","High school diploma or equivalent","None","Short-term on-the-job training"
"Structural Metal Fabricators and Fitters","51-2041","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Fiberglass Laminators and Fabricators","51-2091","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Team Assemblers","51-2092","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Timing Device Assemblers and Adjusters","51-2093","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Assemblers and Fabricators, All Other","51-2099","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Bakers","51-3011","Less than high school","None","Long-term on-the-job training"
"Butchers and Meat Cutters","51-3021","Less than high school","None","Long-term on-the-job training"
"Meat, Poultry, and Fish Cutters and Trimmers","51-3022","Less than high school","None","Short-term on-the-job training"
"Slaughterers and Meat Packers","51-3023","Less than high school","None","Moderate-term on-the-job training"
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","51-3091","Less than high school","None","Moderate-term on-the-job training"
"Food Batchmakers","51-3092","High school diploma or equivalent","Less than 1 year","Short-term on-the-job training"
"Food Cooking Machine Operators and Tenders","51-3093","High school diploma or equivalent","Less than 1 year","Short-term on-the-job training"
"Computer-Controlled Machine Tool Operators, Metal and Plastic","51-4011","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic","51-4012","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","51-4021","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","51-4022","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","51-4023","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","51-4031","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","51-4032","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","51-4033","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","51-4034","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","51-4035","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Machinists","51-4041","High school diploma or equivalent","None","Long-term on-the-job training"
"Metal-Refining Furnace Operators and Tenders","51-4051","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Pourers and Casters, Metal","51-4052","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Model Makers, Metal and Plastic","51-4061","High school diploma or equivalent","None","Long-term on-the-job training"
"Patternmakers, Metal and Plastic","51-4062","High school diploma or equivalent","None","Long-term on-the-job training"
"Foundry Mold and Coremakers","51-4071","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","51-4072","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","51-4081","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Tool and Die Makers","51-4111","High school diploma or equivalent","None","Long-term on-the-job training"
"Welders, Cutters, Solderers, and Brazers","51-4121","High school diploma or equivalent","Less than 1 year","Moderate-term on-the-job training"
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","51-4122","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","51-4191","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Layout Workers, Metal and Plastic","51-4192","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","51-4193","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Tool Grinders, Filers, and Sharpeners","51-4194","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metal Workers and Plastic Workers, All Other","51-4199","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Prepress Technicians and Workers","51-5111","Postsecondary non-degree award","None","None"
"Printing Press Operators","51-5112","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Print Binding and Finishing Workers","51-5113","High school diploma or equivalent","None","Short-term on-the-job training"
"Laundry and Dry-Cleaning Workers","51-6011","Less than high school","None","Short-term on-the-job training"
"Pressers, Textile, Garment, and Related Materials","51-6021","Less than high school","None","Short-term on-the-job training"
"Sewing Machine Operators","51-6031","Less than high school","None","Short-term on-the-job training"
"Shoe and Leather Workers and Repairers","51-6041","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Shoe Machine Operators and Tenders","51-6042","High school diploma or equivalent","None","Short-term on-the-job training"
"Sewers, Hand","51-6051","Less than high school","None","Moderate-term on-the-job training"
"Tailors, Dressmakers, and Custom Sewers","51-6052","Less than high school","None","Moderate-term on-the-job training"
"Textile Bleaching and Dyeing Machine Operators and Tenders","51-6061","High school diploma or equivalent","None","Short-term on-the-job training"
"Textile Cutting Machine Setters, Operators, and Tenders","51-6062","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","51-6063","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","51-6064","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","51-6091","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Fabric and Apparel Patternmakers","51-6092","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Upholsterers","51-6093","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Textile, Apparel, and Furnishings Workers, All Other","51-6099","High school diploma or equivalent","None","Short-term on-the-job training"
"Cabinetmakers and Bench Carpenters","51-7011","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Furniture Finishers","51-7021","High school diploma or equivalent","None","Short-term on-the-job training"
"Model Makers, Wood","51-7031","High school diploma or equivalent","None","Moderate-term on-the-job training"
